Months.Since.1Jan1840,Year.Month.Day,tic.gm-2
1908,1999-02-01,0.0018010515556249839
1909,1999-03-01,0.0016501484336074335
1910,1999-04-01,0.001562281387435151
1911,1999-05-01,0.0015122148519398039
1912,1999-06-01,0.0015512633691280896
1913,1999-07-01,0.001571791248528557
1914,1999-08-01,0.0015716373320780737
1915,1999-09-01,0.0015636861348880765
1916,1999-10-01,0.0015514824026770942
1917,1999-11-01,0.001534986959745247
1918,1999-12-01,0.001518993846144609
1919,2000-01-01,0.001498136787271498
1920,2000-02-01,0.0014775590288518914
1921,2000-03-01,0.0014343314775033605
1922,2000-04-01,0.0014220817462596881
1923,2000-05-01,0.0014319071544154928
1924,2000-06-01,0.001568271342558423
1925,2000-07-01,0.0016003679302861928
1926,2000-08-01,0.0015939739629834738
1927,2000-09-01,0.0015794792352130434
1928,2000-10-01,0.0015621493915387874
1929,2000-11-01,0.001542936696189657
1930,2000-12-01,0.0015243999694369214
1931,2001-01-01,3.747979772993437e-4
1932,2001-02-01,4.909591764709133e-4
1933,2001-03-01,6.03247446146089e-4
1934,2001-04-01,7.193696159044434e-4
1935,2001-05-01,8.453531378435031e-4
1936,2001-06-01,9.774551675793158e-4
1937,2001-07-01,0.0010893499427794802
1938,2001-08-01,0.0011832495493029332
1939,2001-09-01,0.0012650779678752217
1940,2001-10-01,0.0013342765643655039
1941,2001-11-01,0.0013926630356458434
1942,2001-12-01,0.0014409189068470348
1943,2002-01-01,0.001895881402320941
1944,2002-02-01,0.001886233863830404
1945,2002-03-01,0.0018739448002492492
1946,2002-04-01,0.0018582061355972488
1947,2002-05-01,0.0018933328975510588
1948,2002-06-01,0.0019201537676107995
1949,2002-07-01,0.001926594518032466
1950,2002-08-01,0.0019245933949529497
1951,2002-09-01,0.0019179066899497992
1952,2002-10-01,0.001906850377632642
1953,2002-11-01,0.0018922472389897368
1954,2002-12-01,0.0018773295635445132
1955,2003-01-01,0.0016352063373105377
1956,2003-02-01,0.0016453299982688433
1957,2003-03-01,0.0016505933681848694
1958,2003-04-01,0.001668719158017834
1959,2003-05-01,0.0017317764195088415
1960,2003-06-01,0.0017806976426658558
1961,2003-07-01,0.001809388550450537
1962,2003-08-01,0.0018254898622401896
1963,2003-09-01,0.001834928704400111
1964,2003-10-01,0.0018385787969388149
1965,2003-11-01,0.0018382477914250753
1966,2003-12-01,0.0018349257312837446
1967,2004-01-01,0.0011215526719297315
1968,2004-02-01,0.0011693395684469778
1969,2004-03-01,0.001219279147217066
1970,2004-04-01,0.0012712468779984074
1971,2004-05-01,0.0013303214220972731
1972,2004-06-01,0.001385784740075718
1973,2004-07-01,0.0014311091830173618
1974,2004-08-01,0.0014682253310356892
1975,2004-09-01,0.001498870004701587
1976,2004-10-01,0.0015231526081400139
1977,2004-11-01,0.0015437588446124615
1978,2004-12-01,0.0015602033756759318
1979,2005-01-01,0.0013574043826896664
1980,2005-02-01,0.0013826777943420638
1981,2005-03-01,0.0014114126784073127
1982,2005-04-01,0.0014404208758536556
1983,2005-05-01,0.0014810810855444888
1984,2005-06-01,0.001516759193308935
1985,2005-07-01,0.001544989818815889
1986,2005-08-01,0.0015672325627325856
1987,2005-09-01,0.001585923330608202
1988,2005-10-01,0.001600332540163348
1989,2005-11-01,0.0016112384908062195
1990,2005-12-01,0.0016193246017466012
1991,2006-01-01,0.00265336079433985
1992,2006-02-01,0.0025633316033641692
1993,2006-03-01,0.0024740975028205094
1994,2006-04-01,0.0024129933876588265
1995,2006-05-01,0.002373848005455401
1996,2006-06-01,0.0023320113355586197
1997,2006-07-01,0.0022870003208498297
1998,2006-08-01,0.002242191710653321
1999,2006-09-01,0.0021981071601749522
2000,2006-10-01,0.002153683983968502
2001,2006-11-01,0.0021113554994926795
2002,2006-12-01,0.002069324975101984
2003,2007-01-01,0.0022961129853337372
2004,2007-02-01,0.0022332990198316786
2005,2007-03-01,0.0021724661011614135
2006,2007-04-01,0.002143858423271101
2007,2007-05-01,0.0021300039091824603
2008,2007-06-01,0.0021222452826211097
2009,2007-07-01,0.0021038965919447745
2010,2007-08-01,0.0020816356638468205
2011,2007-09-01,0.002058643835839907
2012,2007-10-01,0.0020352828285235157
2013,2007-11-01,0.002010756251011096
2014,2007-12-01,0.0019855240410467626
2015,2008-01-01,0.001983185293065693
2016,2008-02-01,0.001955723974388486
2017,2008-03-01,0.0019222363090599913
2018,2008-04-01,0.0019041862869598925
2019,2008-05-01,0.0019263297974856858
2020,2008-06-01,0.0019458476592368107
2021,2008-07-01,0.0019503340150474288
2022,2008-08-01,0.001946300106949054
2023,2008-09-01,0.0019392468198422628
2024,2008-10-01,0.001930042338217851
2025,2008-11-01,0.0019172125601251257
2026,2008-12-01,0.0019021680699061743
2027,2009-01-01,0.004846912043194301
2028,2009-02-01,0.004034929354931943
2029,2009-03-01,0.003388088490486644
2030,2009-04-01,0.002907674493431973
2031,2009-05-01,0.0026202167855638755
2032,2009-06-01,0.002408765523981775
2033,2009-07-01,0.002228910369213287
2034,2009-08-01,0.002085690096091449
2035,2009-09-01,0.0019743389943177583
2036,2009-10-01,0.001883776820830751
2037,2009-11-01,0.0018107130018873872
2038,2009-12-01,0.0017523359733551918
2039,2010-01-01,0.002999417315695185
2040,2010-02-01,0.0023983800594374995
2041,2010-03-01,0.001991628756856945
2042,2010-04-01,0.0017366273329051688
2043,2010-05-01,0.0016357333036272185
2044,2010-06-01,0.001620369025815443
2045,2010-07-01,0.0015852544803959764
2046,2010-08-01,0.0015488620963732094
2047,2010-09-01,0.0015174324141399552
2048,2010-10-01,0.0014902408264444715
2049,2010-11-01,0.0014693349813572159
2050,2010-12-01,0.0014521913450887933
