Months.Since.1Jan1840,Year.Month.Day,tc.gm-2
2034,2009-08-01,0.002386004747575011
2035,2009-09-01,0.0022658919890702635
2036,2009-10-01,0.0021622012777787547
2037,2009-11-01,0.002073521959736089
2038,2009-12-01,0.0019984511538966693
2039,2010-01-01,0.002255608172273847
2040,2010-02-01,0.002131038305425691
2041,2010-03-01,0.0020250155074572275
2042,2010-04-01,0.0019423486906959427
2043,2010-05-01,0.0019150133557945053
2044,2010-06-01,0.0019233898135812737
2045,2010-07-01,0.001913048495759839
2046,2010-08-01,0.0018931716772930395
2047,2010-09-01,0.001869911104371158
2048,2010-10-01,0.0018452711478068012
2049,2010-11-01,0.0018223495866133887
2050,2010-12-01,0.0018011256921363578
