Months.Since.1Jan1840,Year.Month.Day,bp30to90cm.gm-2
1859,1995-01-01,0.007554061021227452
1860,1995-02-01,0.007552590031099216
1861,1995-03-01,0.007549024573300127
1862,1995-04-01,0.0075454485915971165
1863,1995-05-01,0.007541866665766345
1864,1995-06-01,0.007538283293799948
1865,1995-07-01,0.007534702274289698
1866,1995-08-01,0.007531126470311553
1867,1995-09-01,0.007527557876130869
1868,1995-10-01,0.00752399783657907
1869,1995-11-01,0.007520447286029652
1870,1995-12-01,0.007516906932910603
1871,1996-01-01,0.007513377371292287
1872,1996-02-01,0.007510121739576034
1873,1996-03-01,0.007504916394900841
1874,1996-04-01,0.007499706744508741
1875,1996-05-01,0.007494496365141442
1876,1996-06-01,0.007489288912579468
1877,1996-07-01,0.007484087600687778
1878,1996-08-01,0.007478894962288673
1879,1996-09-01,0.007473712855110592
1880,1996-10-01,0.00746854260702815
1881,1996-11-01,0.007463385195364443
1882,1996-12-01,0.007458241394960931
1883,1997-01-01,0.007453111873136259
1884,1997-02-01,0.007448386752586316
1885,1997-03-01,0.007442657385659178
1886,1997-04-01,0.007436939480054216
1887,1997-05-01,0.007431234128800963
1888,1997-06-01,0.0074255424108175564
1889,1997-07-01,0.0074198652968059196
1890,1997-08-01,0.007414203608937835
1891,1997-09-01,0.007408558024877241
1892,1997-10-01,0.007402929105196136
1893,1997-11-01,0.00739731732533629
1894,1997-12-01,0.007391723101458175
1895,1998-01-01,0.00738614680719832
1896,1998-02-01,0.007380960972370495
1897,1998-03-01,0.0073777822914840585
1898,1998-04-01,0.007374646746703716
1899,1998-05-01,0.007371548574952966
1900,1998-06-01,0.007368482082105687
1901,1998-07-01,0.007365442477848393
1902,1998-08-01,0.007362426184401106
1903,1998-09-01,0.007359430736365949
1904,1998-10-01,0.00735645448066682
1905,1998-11-01,0.0073534962572472705
1906,1998-12-01,0.007350555158178432
1907,1999-01-01,0.007347630386957171
1908,1999-02-01,0.007344951929641238
1909,1999-03-01,0.007345684156989763
1910,1999-04-01,0.00734646597240353
1911,1999-05-01,0.007347287932363064
1912,1999-06-01,0.00734814105991325
1913,1999-07-01,0.007349017915428862
1914,1999-08-01,0.007349912895263821
1915,1999-09-01,0.007350821990155837
1916,1999-10-01,0.007351742323893484
1917,1999-11-01,0.007352671713910779
1918,1999-12-01,0.007353608363330338
1919,2000-01-01,0.007354630217760401
1920,2000-02-01,0.007358831356915987
1921,2000-03-01,0.0073630635604605916
1922,2000-04-01,0.007367318062085414
1923,2000-05-01,0.0073715868217132455
1924,2000-06-01,0.00737586330152492
1925,2000-07-01,0.0073801425935061055
1926,2000-08-01,0.007384421140608132
1927,2000-09-01,0.007388696328428532
1928,2000-10-01,0.007392966130539318
1929,2000-11-01,0.007397228874532167
1930,2000-12-01,0.007401483119020187
1931,2001-01-01,0.007405701203233615
1932,2001-02-01,0.007410344965647302
1933,2001-03-01,0.007414978902929938
