Months.Since.1Jan1840,Year.Month.Day,bp30to90cm.gm-2
1776,1988-02-01,0.001055557740249889
1777,1988-03-01,0.0011024873208580843
1778,1988-04-01,0.0011433738901994671
1779,1988-05-01,0.0011704598978263595
1780,1988-06-01,0.001185545579861115
1781,1988-07-01,0.001192056467597619
1782,1988-08-01,0.0011948656160118449
1783,1988-09-01,0.0011948332582386013
1784,1988-10-01,0.0011922308390337815
1785,1988-11-01,0.0011914945727161223
1786,1988-12-01,0.001190075497154538
1787,1989-01-01,0.001188961408148129
1788,1989-02-01,0.0012039901010696102
1789,1989-03-01,0.0012224001253094538
1790,1989-04-01,0.001239920822535101
1791,1989-05-01,0.001249945196068869
1792,1989-06-01,0.0012532656491538367
1793,1989-07-01,0.0012525383710063982
1794,1989-08-01,0.001249693177138728
1795,1989-09-01,0.0012464637218823705
1796,1989-10-01,0.0012415511698972298
1797,1989-11-01,0.0012355273954325098
1798,1989-12-01,0.0012294741485092495
1799,1990-01-01,0.0012269906133649028
1800,1990-02-01,0.0011429843768920322
1801,1990-03-01,0.0010885953620071976
1802,1990-04-01,0.0010538437828675814
1803,1990-05-01,0.0010263829729066105
1804,1990-06-01,9.988153000334888e-4
1805,1990-07-01,9.764106481381545e-4
1806,1990-08-01,9.598823210010173e-4
1807,1990-09-01,9.480694904320014e-4
1808,1990-10-01,9.382386806451058e-4
1809,1990-11-01,9.284568866584191e-4
1810,1990-12-01,9.215216701531458e-4
1811,1991-01-01,9.169538762772843e-4
1812,1991-02-01,9.558677256122681e-4
1813,1991-03-01,9.966059569028543e-4
1814,1991-04-01,0.001034396854542664
1815,1991-05-01,0.0010586333544990408
1816,1991-06-01,0.0010669282434296503
1817,1991-07-01,0.001066964848815489
1818,1991-08-01,0.001065751103464864
1819,1991-09-01,0.0010645942646107104
1820,1991-10-01,0.001061560095792146
1821,1991-11-01,0.0010549782250456716
1822,1991-12-01,0.001050607831155089
1823,1992-01-01,0.0010483161355190362
1824,1992-02-01,0.001083655620052572
1825,1992-03-01,0.0011260371706219594
1826,1992-04-01,0.0011658812093099772
1827,1992-05-01,0.0011888411145473538
1828,1992-06-01,0.0011965498999227798
1829,1992-07-01,0.0011969018440536171
1830,1992-08-01,0.0011944030516008288
1831,1992-09-01,0.00119096718769005
1832,1992-10-01,0.0011875391907803805
1833,1992-11-01,0.0011835132822181132
1834,1992-12-01,0.0011814317443424485
1835,1993-01-01,0.0011801175516335822
1836,1993-02-01,0.0011475210763083321
1837,1993-03-01,0.00113316383899273
1838,1993-04-01,0.0011308109931715718
1839,1993-05-01,0.0011242519471261752
1840,1993-06-01,0.0011124965870973962
1841,1993-07-01,0.0010970341267274148
1842,1993-08-01,0.0010831858954159258
1843,1993-09-01,0.0010716573723432046
1844,1993-10-01,0.0010602819085006158
