Months.Since.1Jan1840,Year.Month.Day,bp90cm.gm-2
1840,1993-06-01,0.004544661689754936
1841,1993-07-01,0.004556738897434214
1842,1993-08-01,0.004522513239999747
1843,1993-09-01,0.004471170503827272
1844,1993-10-01,0.004407318322923548
1845,1993-11-01,0.00435208565565675
1846,1993-12-01,0.004293923858387288
1847,1994-01-01,0.004232583872609572
1848,1994-02-01,0.004085794341155133
1849,1994-03-01,0.0039457705559220735
1850,1994-04-01,0.0038748740193568377
1851,1994-05-01,0.00407605454138793
1852,1994-06-01,0.004253067925728787
1853,1994-07-01,0.004257775457445698
1854,1994-08-01,0.004205046546365929
1855,1994-09-01,0.004129431622437795
1856,1994-10-01,0.0040530889384325945
1857,1994-11-01,0.0039798199348423146
1858,1994-12-01,0.003907793722559522
1859,1995-01-01,0.0038522705311243776
1860,1995-02-01,0.004003307528539129
1861,1995-03-01,0.00406807626892932
1862,1995-04-01,0.004293546008119477
1863,1995-05-01,0.004659609919001754
1864,1995-06-01,0.004938652274557927
1865,1995-07-01,0.005069576731998955
1866,1995-08-01,0.005109900021937615
1867,1995-09-01,0.00511296689637687
1868,1995-10-01,0.005093411397718452
1869,1995-11-01,0.005064423713405632
1870,1995-12-01,0.005016223551011163
1871,1996-01-01,0.004968631356731595
1872,1996-02-01,0.005206291494718717
1873,1996-03-01,0.0053730150584406985
1874,1996-04-01,0.005581217451855835
1875,1996-05-01,0.005981282854174052
1876,1996-06-01,0.006292884747705372
1877,1996-07-01,0.006456766210572075
1878,1996-08-01,0.006544281000662841
1879,1996-09-01,0.006589711397988484
1880,1996-10-01,0.006598612589659902
1881,1996-11-01,0.006589649548793491
1882,1996-12-01,0.006557223299690688
1883,1997-01-01,0.00650296570129108
1884,1997-02-01,0.0063262894195247246
1885,1997-03-01,0.006189120442567881
1886,1997-04-01,0.006226827121474441
1887,1997-05-01,0.006409246266911683
1888,1997-06-01,0.006546536166670423
1889,1997-07-01,0.0065694602239627425
1890,1997-08-01,0.006541927438423949
1891,1997-09-01,0.006483382646684404
1892,1997-10-01,0.006393980704344849
1893,1997-11-01,0.006303052215066347
1894,1997-12-01,0.006221200420157915
1895,1998-01-01,0.0061341181524243345
1896,1998-02-01,0.005945162493237254
1897,1998-03-01,0.005699790669520754
1898,1998-04-01,0.0055981484520939455
1899,1998-05-01,0.005522541501295864
1900,1998-06-01,0.005653770201362196
1901,1998-07-01,0.005798664724920534
1902,1998-08-01,0.0058595861949353656
1903,1998-09-01,0.005867924081880069
1904,1998-10-01,0.00584381961315794
1905,1998-11-01,0.005806357253555207
1906,1998-12-01,0.005768903173923885
1907,1999-01-01,0.005714154174823574
1908,1999-02-01,0.005408004333690406
1909,1999-03-01,0.0050979276817157875
1910,1999-04-01,0.004899648434259753
1911,1999-05-01,0.004778018445939023
1912,1999-06-01,0.004894074661208313
1913,1999-07-01,0.004968391288753758
1914,1999-08-01,0.004986276390208259
1915,1999-09-01,0.004977732494886204
1916,1999-10-01,0.004952891049286254
1917,1999-11-01,0.004913164164705422
1918,1999-12-01,0.00486944589762114
1919,2000-01-01,0.004817306752375581
1920,2000-02-01,0.005187527357131689
1921,2000-03-01,0.005433809521107167
1922,2000-04-01,0.005701528487025203
1923,2000-05-01,0.0060106918193833314
1924,2000-06-01,0.006648464746265041
1925,2000-07-01,0.00702402836968763
1926,2000-08-01,0.007243226090424628
1927,2000-09-01,0.007386860197913708
1928,2000-10-01,0.007477772345221343
1929,2000-11-01,0.007526783715553591
1930,2000-12-01,0.007546689743701322
1931,2001-01-01,0.007545452763628226
1932,2001-02-01,0.007820219992863255
1933,2001-03-01,0.007985240478008984
1934,2001-04-01,0.008191995642201268
1935,2001-05-01,0.008531154786630663
1936,2001-06-01,0.008977566122394727
1937,2001-07-01,0.009303563530246287
1938,2001-08-01,0.009529773876503977
1939,2001-09-01,0.00970527607923205
1940,2001-10-01,0.00982623284558634
1941,2001-11-01,0.009905503398898634
1942,2001-12-01,0.009944998691217018
1943,2002-01-01,0.00996836009427133
1944,2002-02-01,0.009959089059241168
1945,2002-03-01,0.009933248669691117
1946,2002-04-01,0.009874653174825209
1947,2002-05-01,0.010184303918835836
1948,2002-06-01,0.010435555061759185
1949,2002-07-01,0.010540211464365784
1950,2002-08-01,0.01058045640932047
1951,2002-09-01,0.010583330634707998
1952,2002-10-01,0.010553003050926898
1953,2002-11-01,0.010495729768254908
1954,2002-12-01,0.010431094337842511
1955,2003-01-01,0.010364799851555365
1956,2003-02-01,0.010362028358346716
1957,2003-03-01,0.010303070882102859
1958,2003-04-01,0.010357773887637041
1959,2003-05-01,0.01077927835671892
1960,2003-06-01,0.011098839830487858
1961,2003-07-01,0.011264702709378531
1962,2003-08-01,0.011339830049656911
1963,2003-09-01,0.011370028402604537
1964,2003-10-01,0.011363135902965551
1965,2003-11-01,0.011332301896253056
1966,2003-12-01,0.011282592955013
1967,2004-01-01,0.011217525414722204
