Months.Since.1Jan1840,Year.Month.Day,1to10g.gm-2,10to100g.gm-2,100gto1kg.gm-2,1to10kg.gm-2,10to100kg.gm-2,GT100kg.gm-2
1581,1971-11-01,7.116164660877424e-8,1.7936649255771054e-6,4.670473056522264e-5,0.0019544034047224057,0.00690800478905819,7.12624930152223e-4
1582,1971-12-01,7.286187168813662e-8,1.8339519484917017e-6,4.738137429989707e-5,0.001979463536795122,0.007033819863295941,7.466652293925985e-4
1583,1972-01-01,7.405789258275619e-8,1.8720387084267012e-6,4.843703666445645e-5,0.0019984255310556516,0.007086310346452558,7.730231882346606e-4
1584,1972-02-01,7.55490669765277e-8,1.921964514020647e-6,5.0224334000341116e-5,0.0021091785348527374,0.007332067761932223,8.394093524996499e-4
1585,1972-03-01,7.296952109722875e-8,1.8545192913275838e-6,4.9786980047014335e-5,0.002220579108476026,0.0075835386902898625,9.147896246035085e-4
1586,1972-04-01,7.089288121630634e-8,1.7952713831633463e-6,4.810389652144084e-5,0.002321906284998492,0.007889289074339386,9.983630565938166e-4
1587,1972-05-01,6.79929539505549e-8,1.7169167245302004e-6,4.6234509406773015e-5,0.0024198060770651304,0.008375626028787789,0.0010842378588872313
1588,1972-06-01,6.846283216480309e-8,1.727252828328863e-6,4.5572034884237124e-5,0.0024762500940272046,0.00893944545192483,0.0011636136729101102
1589,1972-07-01,6.918961109683129e-8,1.7468616478060415e-6,4.5890014068902906e-5,0.002533041565914513,0.009331853919918651,0.0012344798299169903
1590,1972-08-01,6.976330371540211e-8,1.7632332429139005e-6,4.6388548539020606e-5,0.002582600223143163,0.009614946357519966,0.0012968099731630854
1591,1972-09-01,7.015134642313552e-8,1.7744807320499562e-6,4.6798040706586303e-5,0.002625528175397185,0.009829974792309378,0.0013513500652500574
1592,1972-10-01,7.169649673076687e-8,1.8082181801479178e-6,4.7117769836919394e-5,0.0026563862939740055,0.00998450989229507,0.0013960856266528945
1593,1972-11-01,7.432202276113205e-8,1.8714355312396832e-6,4.784393022392991e-5,0.0026704647498167504,0.010079915890287252,0.001428050058217447
1594,1972-12-01,7.587053032949552e-8,1.9155221940491325e-6,4.908539311880368e-5,0.0026773720437351383,0.010147203283843812,0.001452020942047474
1595,1973-01-01,7.594375970219376e-8,1.9278398554117442e-6,5.0273417614785124e-5,0.0026864709354317215,0.010190283016468078,0.0014729638814618277
1596,1973-02-01,7.340619220873152e-8,1.8807911897600962e-6,5.105596619353166e-5,0.0027473370411845227,0.010318480803576956,0.0015198148429541366
1597,1973-03-01,6.972802219866307e-8,1.7824239793043437e-6,4.987175361343956e-5,0.0028168353666549566,0.010365301826516978,0.001580118424948913
1598,1973-04-01,6.685016940041162e-8,1.6947324580740161e-6,4.727994459053931e-5,0.0028919292710918995,0.010486766338428762,0.0016552079294319321
1599,1973-05-01,6.808239894629261e-8,1.714687210196692e-6,4.569858952463038e-5,0.0029548329637453822,0.010673297448245703,0.0017304461347105757
1600,1973-06-01,6.661453667840502e-8,1.6785633370358776e-6,4.445572169913063e-5,0.0029917015738915548,0.011134535795635891,0.0017991839864364696
1601,1973-07-01,6.708833240518267e-8,1.6902869346163558e-6,4.454238499072279e-5,0.003027102811618299,0.011457474456748898,0.001858832569815602
1602,1973-08-01,6.70621190718433e-8,1.692039369585485e-6,4.4823159272902654e-5,0.00306084633272307,0.011668603912627052,0.0019111527610867357
1603,1973-09-01,6.736560848379031e-8,1.6984910837406207e-6,4.493176976243294e-5,0.0030890834054655603,0.011816654831486573,0.001956157165748877
1604,1973-10-01,6.82353040656472e-8,1.7177931215628155e-6,4.507466459751351e-5,0.003108440040719445,0.011919426288358284,0.00199294390622232
1605,1973-11-01,6.962528748463351e-8,1.7493492184887945e-6,4.545559166984588e-5,0.003117528026761182,0.011987563770942794,0.0020210330313603893
1606,1973-12-01,7.125890141782214e-8,1.7878634120814123e-6,4.6119653844356455e-5,0.0031174684941612015,0.012022664578005106,0.00204094151648273
1607,1974-01-01,7.205301588996377e-8,1.815919591029869e-6,4.708851414613996e-5,0.0031149667146930333,0.012013406347335871,0.0020547384066882664
1608,1974-02-01,7.154731044694865e-8,1.8146899264816378e-6,4.784274030164618e-5,0.0030152549215068172,0.011465433706896714,0.0019862530604796928
1609,1974-03-01,6.957309889855985e-8,1.76534075575773e-6,4.763189276051917e-5,0.0029361866238598587,0.010898781448871448,0.0019264068266198033
1610,1974-04-01,6.833927908828427e-8,1.7309727986285343e-6,4.664123182519592e-5,0.0028721218686911672,0.010441255937169323,0.0018733001417073438
1611,1974-05-01,6.694191683389505e-8,1.6924426774724104e-6,4.562717918353767e-5,0.0028249892599019064,0.010235661312977543,0.0018281002846908668
1612,1974-06-01,6.749227643501046e-8,1.700055223090635e-6,4.472406886639794e-5,0.0027653029363068475,0.010192486537872995,0.0017821121608369316
1613,1974-07-01,6.811417646341113e-8,1.7181758278559545e-6,4.4945869997011455e-5,0.0027149461546311514,0.01010657324101198,0.0017353257783256893
1614,1974-08-01,6.850503363994299e-8,1.7304180405436653e-6,4.543715354957583e-5,0.0026728037976414044,0.009992118423178487,0.0016891101542817787
1615,1974-09-01,6.867368353307375e-8,1.734554018839987e-6,4.57459120522576e-5,0.002638964077455098,0.009876459840776435,0.0016456360265181564
1616,1974-10-01,6.997343799587373e-8,1.7638168780475482e-6,4.596407274473114e-5,0.0026048968874572004,0.009751988885137302,0.0016022622769645122
1617,1974-11-01,7.1185595291376e-8,1.793703069705019e-6,4.650921619562904e-5,0.0025714311210002913,0.009635434244716216,0.0015600039472238802
1618,1974-12-01,7.202302825203218e-8,1.8136361716738322e-6,4.7144479315105565e-5,0.002541774237851588,0.009532447154707272,0.0015211094693145487
1619,1975-01-01,7.284462950283642e-8,1.840331535351979e-6,4.783743858029252e-5,0.0025142437581613985,0.009411301282517975,0.0014840303729978638
1620,1975-02-01,7.184294181833868e-8,1.8268047287935882e-6,4.8708736689760174e-5,0.00254405360949018,0.00942442058081352,0.0014817439296679477
1621,1975-03-01,7.012421608443464e-8,1.7832642931050856e-6,4.839054507080361e-5,0.0025754959382386132,0.009333832868636137,0.001488559733307085
1622,1975-04-01,6.80362592913476e-8,1.7267497446750325e-6,4.7237161114868715e-5,0.0026125221788050783,0.00930994722619966,0.0015063387904584644
1623,1975-05-01,6.738724097558512e-8,1.7036852988323315e-6,4.592430220157481e-5,0.002644013470329448,0.009315407901983421,0.001529486776081345
1624,1975-06-01,6.70695194946907e-8,1.6926264655348137e-6,4.5083880635509375e-5,0.0026669549336354125,0.009546973101781478,0.0015533711521746383
1625,1975-07-01,6.756189188485278e-8,1.7044763016282042e-6,4.493480530323523e-5,0.0026816692990309973,0.009773243131126453,0.0015733073558337725
1626,1975-08-01,6.78831490008661e-8,1.7141962374528874e-6,4.521443140780764e-5,0.0026955004637833134,0.009930591602170342,0.0015892794647565276
1627,1975-09-01,6.778364884031171e-8,1.7122227526879397e-6,4.54265948693396e-5,0.002710360303330838,0.010046770230203929,0.0016033494761425243
1628,1975-10-01,6.872100464833917e-8,1.7316901475014348e-6,4.547560628459562e-5,0.0027188512655771067,0.010122922755457843,0.0016131213415715793
1629,1975-11-01,6.990261960425902e-8,1.759029920728165e-6,4.5822553682149916e-5,0.0027201864965755284,0.010171457525193441,0.0016183955102920947
1630,1975-12-01,7.132300055121958e-8,1.7931490835746669e-6,4.644052308617203e-5,0.0027155311288491807,0.010188953361209343,0.001619165680731567
1631,1976-01-01,7.254501230438886e-8,1.8288036665161073e-6,4.7350548023747556e-5,0.0027087155032913457,0.010151161896461128,0.0016157881909284334
1632,1976-02-01,7.2440330565128e-8,1.8399760701967342e-6,4.811230998409876e-5,0.0025140706176715946,0.009177614458798932,0.0014758628638177837
1633,1976-03-01,7.023009112145992e-8,1.7869960103262808e-6,4.802990950379017e-5,0.002366948322232759,0.008313989771479392,0.0013554901439172102
