Months.Since.1Jan1840,Year.Month.Day,1to10g.gm-2,10to100g.gm-2,100gto1kg.gm-2,1to10kg.gm-2,10to100kg.gm-2,GT100kg.gm-2
1822,1991-12-01,6.824272332393004e-8,1.7119702842765587e-6,4.194578203725431e-5,0.0051660981309801885,0.061316505781772536,0.045977140502655216
1823,1992-01-01,6.824459893917451e-8,1.7132881230661575e-6,4.197150924729053e-5,0.005167976280260512,0.061327809041763146,0.04597914221591381
1824,1992-02-01,6.822550761976471e-8,1.7139067173355836e-6,4.199314631809987e-5,0.005169868698635428,0.061339557183989896,0.04598099620650992
1825,1992-03-01,6.829418912135757e-8,1.714667840153684e-6,4.199462729088458e-5,0.005170820756624845,0.061349394914837894,0.045982442037150496
1826,1992-04-01,6.83993724881487e-8,1.7157841958878897e-6,4.200319353523521e-5,0.005171741151259096,0.06135893701948531,0.04598387800402674
1827,1992-05-01,6.85138406282644e-8,1.7170864221733882e-6,4.2018808450912284e-5,0.005172636079904306,0.06136819430125621,0.045985304132549906
1828,1992-06-01,6.861585972564549e-8,1.7185206135170345e-6,4.203953272216438e-5,0.005173518835979669,0.06137717395689558,0.04598672046901284
1829,1992-07-01,6.869274585458686e-8,1.7200851109803704e-6,4.2063234308840004e-5,0.0051744034124227125,0.06138588282890894,0.045988127082111835
1830,1992-08-01,6.874301512385395e-8,1.721743095471833e-6,4.2088406591444663e-5,0.00517530097505351,0.06139432936915524,0.0459895240636769
1831,1992-09-01,6.877219618812865e-8,1.7234078826474208e-6,4.211426982428833e-5,0.005176218669337553,0.06140252440212972,0.04599091152830476
1832,1992-10-01,6.878752819573678e-8,1.7249738956266202e-6,4.214055883201498e-5,0.00517715981389408,0.06141048100410288,0.04599228961184714
1833,1992-11-01,6.879493290535414e-8,1.7263527082068157e-6,4.2167256972153834e-5,0.005178124754779666,0.06141821385354619,0.04599365846895873
1834,1992-12-01,6.879826117814348e-8,1.7274933858180286e-6,4.219439562586988e-5,0.005179111897490658,0.06142573838096272,0.045995018270097
1835,1993-01-01,6.879966760932733e-8,1.728384818927502e-6,4.222194718450604e-5,0.0051801186293220355,0.06143306996859701,0.045996369198451216
1836,1993-02-01,6.880120860849131e-8,1.7290118526289288e-6,4.224671834097835e-5,0.005181146690971346,0.061440019378961326,0.045997554681326665
1837,1993-03-01,6.885047800988614e-8,1.7296371475312738e-6,4.225666723722432e-5,0.0051815814035583605,0.061445827697062395,0.04599848117984795
1838,1993-04-01,6.892553920618336e-8,1.730460454216121e-6,4.227005828645448e-5,0.0051820043396741036,0.061451492769237046,0.0459993995559337
1839,1993-05-01,6.90097007940684e-8,1.7313745783381148e-6,4.228676085489059e-5,0.0051824158429395134,0.061457023937995243,0.04600031002168632
1840,1993-06-01,6.908701367933698e-8,1.7323627890003362e-6,4.230560840766371e-5,0.0051828198120586755,0.06146242689502416,0.04600121279474839
1841,1993-07-01,6.914677196736842e-8,1.7334448896410846e-6,4.2325322141022623e-5,0.005183221921735346,0.061467704652171176,0.04600210809840171
1842,1993-08-01,6.91866700744043e-8,1.734610236606144e-6,4.2345019220243454e-5,0.005183627873328033,0.061472859147371016,0.04600299616152149
1843,1993-09-01,6.921025037348625e-8,1.7358037673274652e-6,4.2364313018459144e-5,0.005184042082952149,0.061477892695983506,0.0460038772181465
1844,1993-10-01,6.922283968791545e-8,1.7369485705632365e-6,4.2383186081868776e-5,0.005184467090507042,0.06148280878424643,0.046004751506554996
1845,1993-11-01,6.922901050059269e-8,1.7379748325014633e-6,4.240179958928706e-5,0.005184903637272089,0.0614876121715703,0.046005619267882165
1846,1993-12-01,6.923182358660286e-8,1.7388379862912562e-6,4.2420337822360496e-5,0.005185351129853064,0.06149230855566528,0.046006480744441657
1847,1994-01-01,6.923302880973559e-8,1.7395229798720006e-6,4.243892082759897e-5,0.00518580819505145,0.0614969040952381,0.046007336177990694
1848,1994-02-01,6.924251022602766e-8,1.7401501230111854e-6,4.245710537542547e-5,0.005186298385498088,0.06150081793626923,0.04600802160189387
1849,1994-03-01,6.937791065918597e-8,1.7410077532354375e-6,4.243249589904196e-5,0.00518503940467004,0.061501775486090024,0.046007960231582254
1850,1994-04-01,6.958851123634509e-8,1.7425139859756046e-6,4.241592686034516e-5,0.005183763903878933,0.06150265619161887,0.04600789371614472
1851,1994-05-01,6.983099375460385e-8,1.7444830801532488e-6,4.240638174365323e-5,0.005182479079765114,0.06150346988066375,0.04600782227324232
1852,1994-06-01,7.005740453492347e-8,1.7468982952567647e-6,4.240221799371623e-5,0.00518118853434287,0.06150422642137725,0.04600774611369726
1853,1994-07-01,7.023449732328298e-8,1.7497707177432447e-6,4.240189259788012e-5,0.005179893744147946,0.061504934053376516,0.04600766544041048
1854,1994-08-01,7.035398023006608e-8,1.7530145709952642e-6,4.240437631590458e-5,0.005178595580798496,0.061505598682826436,0.04600758044709798
1855,1994-09-01,7.042530271467205e-8,1.7564298599626807e-6,4.240934242372076e-5,0.005177294890558576,0.06150622407373617,0.04600749131689853
1856,1994-10-01,7.046374817675914e-8,1.7597649700649073e-6,4.2417056617685e-5,0.005175992585166273,0.06150681238816182,0.04600739822107437
1857,1994-11-01,7.048276697362476e-8,1.7627947596627343e-6,4.2428076250142615e-5,0.005174689675693534,0.06150736469235296,0.04600730131816659
1858,1994-12-01,7.049151349478129e-8,1.7653710109715338e-6,4.244294262921136e-5,0.0051733873363582275,0.06150788133065606,0.04600720075402086
1859,1995-01-01,7.049529228561527e-8,1.767435158030142e-6,4.2461979980425644e-5,0.005172086937537078,0.061508362206345764,0.046007096663032473
1860,1995-02-01,7.049175379685983e-8,1.7689043677221055e-6,4.248441750923519e-5,0.005170784783018054,0.061509126070257956,0.0460069658732953
1861,1995-03-01,7.069249732533232e-8,1.7704901007195862e-6,4.2443294711065475e-5,0.005166813132778776,0.0615054311232971,0.04600568897214582
1862,1995-04-01,7.101633211303512e-8,1.7729084806227327e-06,4.2416969742446576e-5,0.00516281753429427,0.0615016736947091,0.046004409111966876
1863,1995-05-01,7.139601341773878e-8,1.775989744236796e-6,4.240350492474147e-5,0.005158819063184971,0.061497851416702914,0.046003126408243354
