Months.Since.1Jan1840,Year.Month.Day,cp90cm.gm-2
1857,1994-11-01,0.0012873834945876152
1858,1994-12-01,0.001261054174109358
1859,1995-01-01,0.0010190879324143672
1860,1995-02-01,0.001058678901390374
1861,1995-03-01,0.001076284556387643
1862,1995-04-01,0.001137484916331175
1863,1995-05-01,0.0012469930819458798
1864,1995-06-01,0.00132877004868387
1865,1995-07-01,0.0013671265388866163
1866,1995-08-01,0.0013787897521246903
1867,1995-09-01,0.001379332536911636
1868,1995-10-01,0.0013732901814780215
1869,1995-11-01,0.0013645008197744881
1870,1995-12-01,0.001350141895936876
1871,1996-01-01,0.0010470157128890597
1872,1996-02-01,0.0010978626479723158
1873,1996-03-01,0.0011332997638529938
1874,1996-04-01,0.0011792121799221852
1875,1996-05-01,0.001270494751527614
1876,1996-06-01,0.0013411966311308806
1877,1996-07-01,0.001378278498222403
1878,1996-08-01,0.0013977235737326426
1879,1996-09-01,0.0014074665964791183
1880,1996-10-01,0.0014090014556656105
1881,1996-11-01,0.0014064980446903044
1882,1996-12-01,0.0013986419342311368
1883,1997-01-01,0.0014690433253467957
1884,1997-02-01,0.0014260210500274292
1885,1997-03-01,0.001392918588371374
1886,1997-04-01,0.0014018901509274988
1887,1997-05-01,0.001447832817561048
1888,1997-06-01,0.0014817395311955796
1889,1997-07-01,0.0014878896178796598
1890,1997-08-01,0.0014815015568198423
1891,1997-09-01,0.0014674457829045634
1892,1997-10-01,0.0014459335720956854
1893,1997-11-01,0.0014237810944855054
1894,1997-12-01,0.001403468200710662
1895,1998-01-01,0.0014935160872950083
1896,1998-02-01,0.0014440282610916066
1897,1998-03-01,0.0013817513052586238
1898,1998-04-01,0.001357719456543745
1899,1998-05-01,0.001340950816953868
1900,1998-06-01,0.0013764939101393171
1901,1998-07-01,0.0014146814075953833
1902,1998-08-01,0.0014303540329534343
1903,1998-09-01,0.0014321860610194963
1904,1998-10-01,0.0014256023361561522
1905,1998-11-01,0.001415479180026797
1906,1998-12-01,0.0014052005825740542
1907,1999-01-01,0.0015933791696111413
1908,1999-02-01,0.0015030572234926787
1909,1999-03-01,0.0014130062333885007
1910,1999-04-01,0.001356253320477554
1911,1999-05-01,0.0013223989367500389
1912,1999-06-01,0.0013579235078218373
1913,1999-07-01,0.0013802143526138423
1914,1999-08-01,0.0013852584079805533
1915,1999-09-01,0.0013822450187114855
1916,1999-10-01,0.001374397856469019
1917,1999-11-01,0.0013621677643445695
1918,1999-12-01,0.0013485736765629476
1919,2000-01-01,8.809916033961206e-4
1920,2000-02-01,9.502171147944391e-4
1921,2000-03-01,9.969389563021964e-4
1922,2000-04-01,0.0010488543065262645
1923,2000-05-01,0.0011072327556802155
1924,2000-06-01,0.001233227878261048
1925,2000-07-01,0.0013060981278124753
1926,2000-08-01,0.0013483438981095731
1927,2000-09-01,0.0013757716620456017
1928,2000-10-01,0.0013929503409891742
1929,2000-11-01,0.0014019807767796464
1930,2000-12-01,0.001405268458496593
1931,2001-01-01,0.0010794483540777834
1932,2001-02-01,0.0011188828375479495
1933,2001-03-01,0.0011430212865035764
1934,2001-04-01,0.0011740722783605672
1935,2001-05-01,0.0012248118441683035
1936,2001-06-01,0.0012920563209026055
1937,2001-07-01,0.0013407016969083465
1938,2001-08-01,0.0013741859806444025
1939,2001-09-01,0.0013999469869806185
1940,2001-10-01,0.0014176061356341938
1941,2001-11-01,0.0014290858754464357
1942,2001-12-01,0.0014345623642142706
1943,2002-01-01,0.0014408241742865726
1944,2002-02-01,0.0014387159262018365
1945,2002-03-01,0.001434156301192156
1946,2002-04-01,0.00142576455378263
1947,2002-05-01,0.0014728404712460207
1948,2002-06-01,0.0015110984970950743
1949,2002-07-01,0.0015270255279485829
1950,2002-08-01,0.0015330076202693809
1951,2002-09-01,0.001533258562424898
1952,2002-10-01,0.001528531839298359
1953,2002-11-01,0.0015197259561327147
1954,2002-12-01,0.0015096645878507709
1955,2003-01-01,0.0013948113393169035
1956,2003-02-01,0.0013935528749233219
1957,2003-03-01,0.0013852717117881
1958,2003-04-01,0.0013921811149753744
1959,2003-05-01,0.0014524349310561055
1960,2003-06-01,0.0014974980322521498
1961,2003-07-01,0.0015208244340424357
1962,2003-08-01,0.0015312709004123497
1963,2003-09-01,0.0015353138155811317
1964,2003-10-01,0.00153414909907828
1965,2003-11-01,0.001529631215292574
1966,2003-12-01,0.001522413411736351
1967,2004-01-01,0.0010026889545909762
1968,2004-02-01,0.0010429088107521737
1969,2004-03-01,0.0010851169941861485
1970,2004-04-01,0.0011297694105343499
1971,2004-05-01,0.001184244583980039
1972,2004-06-01,0.0012354644781350267
1973,2004-07-01,0.0012754953017887047
1974,2004-08-01,0.0013066690101179368
1975,2004-09-01,0.001331066949303987
1976,2004-10-01,0.0013490539888909145
1977,2004-11-01,0.0013635367609670073
1978,2004-12-01,0.001373884520929044
1979,2005-01-01,0.0013654034606633725
1980,2005-02-01,0.0013742253031663837
1981,2005-03-01,0.0013874431442891522
1982,2005-04-01,0.0014016917860349897
1983,2005-05-01,0.0014333496792897605
1984,2005-06-01,0.001459944543031634
1985,2005-07-01,0.0014778611335767363
1986,2005-08-01,0.0014891605368473877
1987,2005-09-01,0.0014969333496429882
1988,2005-10-01,0.0015005802340096693
1989,2005-11-01,0.001501088228204924
1990,2005-12-01,0.0014991243242907049
1991,2006-01-01,0.0016143309121635437
1992,2006-02-01,0.0015993978365169566
1993,2006-03-01,0.001578694743817361
1994,2006-04-01,0.001579033807136494
1995,2006-05-01,0.001595463587867072
1996,2006-06-01,0.0016044037274739605
1997,2006-07-01,0.0016057617008951408
1998,2006-08-01,0.0016026942887448776
1999,2006-09-01,0.0015961739470327584
2000,2006-10-01,0.0015858682647675937
2001,2006-11-01,0.001574100684657539
2002,2006-12-01,0.001559675846123795
2003,2007-01-01,0.0013429810566641693
2004,2007-02-01,0.001350541679015978
2005,2007-03-01,0.001353351937243963
2006,2007-04-01,0.0013754415633056877
2007,2007-05-01,0.0014054148190121166
2008,2007-06-01,0.0014367330144603094
2009,2007-07-01,0.0014569330666877936
2010,2007-08-01,0.0014705889100556217
2011,2007-09-01,0.0014802322226805927
2012,2007-10-01,0.001486534825318419
2013,2007-11-01,0.0014892776656060592
2014,2007-12-01,0.0014888893260103383
2015,2008-01-01,0.0015066814368022415
2016,2008-02-01,0.00149947811834309
2017,2008-03-01,0.0014849024340342523
2018,2008-04-01,0.0014801261276525127
2019,2008-05-01,0.0015055043662705382
2020,2008-06-01,0.001529077776243797
2021,2008-07-01,0.0015409696270803552
2022,2008-08-01,0.0015457562678776234
2023,2008-09-01,0.001547278558321482
2024,2008-10-01,0.0015463239787244444
2025,2008-11-01,0.001542017219572579
2026,2008-12-01,0.001535196839651193
2027,2009-01-01,0.0036499533986464583
2028,2009-02-01,0.003228919685916309
2029,2009-03-01,0.00285905097933694
2030,2009-04-01,0.002560133853812663
2031,2009-05-01,0.0023730220407254233
2032,2009-06-01,0.002224634658993217
2033,2009-07-01,0.002086909928113362
2034,2009-08-01,0.0019670881878854915
2035,2009-09-01,0.0018655955829077852
2036,2009-10-01,0.001777575116076837
2037,2009-11-01,0.0017018699797373136
2038,2009-12-01,0.0016370582852364875
2039,2010-01-01,0.00184316400612144
2040,2010-02-01,0.001735902204299289
2041,2010-03-01,0.0016406130805477136
2042,2010-04-01,0.0015645050656930256
2043,2010-05-01,0.001543637766335167
2044,2010-06-01,0.0015592881530938512
2045,2010-07-01,0.001555364727866577
2046,2010-08-01,0.0015407463078013083
2047,2010-09-01,0.0015220308626411004
2048,2010-10-01,0.0015015423430842292
2049,2010-11-01,0.0014819940094421894
2050,2010-12-01,0.0014631497557146276
