Months.Since.1Jan1840,Year.Month.Day,cp30to90cm.gm-2
1605,1973-11-01,3.2340640392446764e-4
1606,1973-12-01,3.235140737034353e-4
1607,1974-01-01,4.848780230618228e-4
1608,1974-02-01,4.5832325723496023e-4
1609,1974-03-01,4.3740279106595757e-4
1610,1974-04-01,4.204890277407029e-4
1611,1974-05-01,4.0708367645306856e-4
1612,1974-06-01,3.944929593322044e-4
1613,1974-07-01,3.8322045584136447e-4
1614,1974-08-01,3.736700401642226e-4
1615,1974-09-01,3.6595690897654086e-4
1616,1974-10-01,3.5892297452385643e-4
1617,1974-11-01,3.5301420784151436e-4
1618,1974-12-01,3.4869640976034556e-4
1619,1975-01-01,3.440851464667374e-4
1620,1975-02-01,3.424659520293894e-4
1621,1975-03-01,3.425934461903999e-4
1622,1975-04-01,3.4405027165572324e-4
1623,1975-05-01,3.449321482491326e-4
1624,1975-06-01,3.4481804940588785e-4
1625,1975-07-01,3.436065897285602e-4
1626,1975-08-01,3.421123178630982e-4
1627,1975-09-01,3.4102908060044626e-4
1628,1975-10-01,3.39656694876361e-4
1629,1975-11-01,3.3815119050608885e-4
1630,1975-12-01,3.366915560730168e-4
1631,1976-01-01,3.787476813153599e-4
1632,1976-02-01,3.7009089401853266e-4
1633,1976-03-01,3.6492674101792054e-4
1634,1976-04-01,3.6159719788340954e-4
1635,1976-05-01,3.5844503670654724e-4
1636,1976-06-01,3.549616740474827e-4
1637,1976-07-01,3.5080967163506066e-4
1638,1976-08-01,3.4716285125179424e-4
1639,1976-09-01,3.4417458354082237e-4
1640,1976-10-01,3.4093365504797406e-4
1641,1976-11-01,3.374949627652842e-4
1642,1976-12-01,3.35335836913941e-4
1643,1977-01-01,2.868556307916962e-4
1644,1977-02-01,2.956248132709039e-4
1645,1977-03-01,3.0496328841856166e-4
1646,1977-04-01,3.141209322092653e-4
1647,1977-05-01,3.2126811560543564e-4
1648,1977-06-01,3.255488787271128e-4
1649,1977-07-01,3.2786054865680984e-4
1650,1977-08-01,3.294229727462489e-4
1651,1977-09-01,3.3035715223809483e-4
1652,1977-10-01,3.3040186046589084e-4
1653,1977-11-01,3.2979083387749494e-4
1654,1977-12-01,3.2971929468713127e-4
1655,1978-01-01,4.3387606294500053e-4
1656,1978-02-01,4.126278398907904e-4
1657,1978-03-01,3.9798201843738434e-4
1658,1978-04-01,3.8804520203766823e-4
1659,1978-05-01,3.7930808746612724e-4
1660,1978-06-01,3.7053135821102243e-4
1661,1978-07-01,3.625620716876255e-4
1662,1978-08-01,3.558198335826193e-4
1663,1978-09-01,3.50264724502896e-4
1664,1978-10-01,3.4513275259691757e-4
1665,1978-11-01,3.408174303588388e-4
1666,1978-12-01,3.373571312859073e-4
1667,1979-01-01,3.2487392392701697e-4
1668,1979-02-01,3.270617695625594e-4
