Months.Since.1Jan1840,Year.Month.Day,tpb.gm-2
1684,1980-06-01,0.0040688321987176175
1685,1980-07-01,0.0039976474729757116
1686,1980-08-01,0.003925826476513241
1687,1980-09-01,0.00385914764962498
1688,1980-10-01,0.0038017514822165778
1689,1980-11-01,0.0037522307675351666
1690,1980-12-01,0.0037169916806771607
1691,1981-01-01,0.003682760142166157
1692,1981-02-01,0.0046555617648139525
1693,1981-03-01,0.005527769505692201
1694,1981-04-01,0.006386837400907886
1695,1981-05-01,0.007415479581862779
1696,1981-06-01,0.00841663039007619
1697,1981-07-01,0.009183726287352301
1698,1981-08-01,0.009777489861796315
1699,1981-09-01,0.01024654838351129
1700,1981-10-01,0.010602458121896747
1701,1981-11-01,0.010888328744494366
1702,1981-12-01,0.011114919914735765
1703,1982-01-01,0.011283194980567568
1704,1982-02-01,0.010977083017465037
1705,1982-03-01,0.01070824758185542
1706,1982-04-01,0.01047835586318466
1707,1982-05-01,0.01055867782921899
1708,1982-06-01,0.010572610112251801
1709,1982-07-01,0.010486068453668092
1710,1982-08-01,0.010364030466530345
1711,1982-09-01,0.010207015822112628
1712,1982-10-01,0.010043663430792263
1713,1982-11-01,0.009881365012481593
1714,1982-12-01,0.009710530067470424
1715,1983-01-01,0.009570088336845452
1716,1983-02-01,0.008659129795240713
1717,1983-03-01,0.007855939864296203
1718,1983-04-01,0.007292206795025104
1719,1983-05-01,0.006953572330724246
1720,1983-06-01,0.006923438808594263
1721,1983-07-01,0.006848171267942988
1722,1983-08-01,0.006712241043080042
1723,1983-09-01,0.0065652167084274005
1724,1983-10-01,0.006424962646918436
1725,1983-11-01,0.006315241527987242
1726,1983-12-01,0.006224278335901107
1727,1984-01-01,0.0061394371649492255
1728,1984-02-01,0.006130641314755725
1729,1984-03-01,0.006047232902635441
1730,1984-04-01,0.006025277185183127
1731,1984-05-01,0.006123011224671066
1732,1984-06-01,0.00636443460611697
1733,1984-07-01,0.006498670437083674
1734,1984-08-01,0.006544540581328932
1735,1984-09-01,0.006549022981860607
1736,1984-10-01,0.006519200965068512
1737,1984-11-01,0.0064882200119783795
1738,1984-12-01,0.00644701115259902
1739,1985-01-01,0.006387324493028902
1740,1985-02-01,0.006431968327356849
1741,1985-03-01,0.006465014602851993
1742,1985-04-01,0.00653006235771545
1743,1985-05-01,0.00663632950298353
1744,1985-06-01,0.007027013012946583
1745,1985-07-01,0.007238504821937851
1746,1985-08-01,0.0073290951352852135
1747,1985-09-01,0.007360968917726875
1748,1985-10-01,0.007359605792933701
1749,1985-11-01,0.007338780673666387
1750,1985-12-01,0.007288679958927905
1751,1986-01-01,0.007237998512737391
1752,1986-02-01,0.006199965437937504
1753,1986-03-01,0.0054006187232358335
1754,1986-04-01,0.004985906829105366
