Months.Since.1Jan1840,Year.Month.Day,tcb.gm-2
1666,1978-12-01,0.11150943176064551
1667,1979-01-01,0.11154584545390618
1668,1979-02-01,0.11157466411790726
1669,1979-03-01,0.11160232815684863
1670,1979-04-01,0.11162887805432373
1671,1979-05-01,0.11165437965602834
1672,1979-06-01,0.11167891138119775
1673,1979-07-01,0.11170255444039574
1674,1979-08-01,0.1117253874864781
1675,1979-09-01,0.11174748436542276
1676,1979-10-01,0.11176891340963983
1677,1979-11-01,0.11178973733121904
1678,1979-12-01,0.11181001331785166
1679,1980-01-01,0.11183119539604147
1680,1980-02-01,0.11184872635519305
1681,1980-03-01,0.11186575289640138
1682,1980-04-01,0.11188230229478935
1683,1980-05-01,0.11189840500248652
1684,1980-06-01,0.11191409213991266
1685,1980-07-01,0.11192939386344909
1686,1980-08-01,0.1119443386158679
1687,1980-09-01,0.11195895288520545
1688,1980-10-01,0.11197326117508723
1689,1980-11-01,0.11198728604374414
1690,1980-12-01,0.11200104816660982
1691,1981-01-01,0.11201456641500496
1692,1981-02-01,0.11202762308988733
1693,1981-03-01,0.11203905376105167
1694,1981-04-01,0.11205026762377084
1695,1981-05-01,0.11206127535011498
1696,1981-06-01,0.1120720872171772
1697,1981-07-01,0.11208271294919925
1698,1981-08-01,0.11209316181450812
1699,1981-09-01,0.11210344271324994
1700,1981-10-01,0.11211356419007867
1701,1981-11-01,0.11212353439986246
1702,1981-12-01,0.11213336106482477
1703,1982-01-01,0.1121430514448788
1704,1982-02-01,0.11215226481451872
1705,1982-03-01,0.11215579604802242
1706,1982-04-01,0.11215919493195249
1707,1982-05-01,0.1121624779613057
1708,1982-06-01,0.11216565833824348
1709,1982-07-01,0.11216874604886211
1710,1982-08-01,0.11217174870476579
1711,1982-09-01,0.11217467231854095
1712,1982-10-01,0.11217752180678464
1713,1982-11-01,0.11218030128131726
1714,1982-12-01,0.11218301422952823
1715,1983-01-01,0.11218566364890938
1716,1983-02-01,0.11218862622691755
1717,1983-03-01,0.11218541431350051
1718,1983-04-01,0.1121821068531405
1719,1983-05-01,0.1121787189761589
1720,1983-06-01,0.11217526395610061
1721,1983-07-01,0.11217175232196054
1722,1983-08-01,0.11216819215530467
1723,1983-09-01,0.11216458967356015
1724,1983-10-01,0.112160949728534
1725,1983-11-01,0.11215727615659916
1726,1983-12-01,0.11215357202225958
1727,1984-01-01,0.1121498398028598
1728,1984-02-01,0.11214598175300602
1729,1984-03-01,0.11213574387159758
1730,1984-04-01,0.11212549473102786
1731,1984-05-01,0.11211525933078878
1732,1984-06-01,0.11210505503446322
1733,1984-07-01,0.11209489250928766
1734,1984-08-01,0.11208477773607566
1735,1984-09-01,0.11207471370347799
1736,1984-10-01,0.11206470148764665
1737,1984-11-01,0.11205474087616837
1738,1984-12-01,0.11204483075104567
1739,1985-01-01,0.11203496936635446
1740,1985-02-01,0.11202153134639384
1741,1985-03-01,0.11200761886080682
1742,1985-04-01,0.1119939154417955
1743,1985-05-01,0.11198046327322453
1744,1985-06-01,0.11196728441821209
1745,1985-07-01,0.11195438528240872
1746,1985-08-01,0.11194176244249006
1747,1985-09-01,0.11192940720773754
1748,1985-10-01,0.11191730835091905
1749,1985-11-01,0.11190545346841273
1750,1985-12-01,0.11189382960006089
1751,1986-01-01,0.11188242354547889
1752,1986-02-01,0.11185829713392254
1753,1986-03-01,0.11183933280737715
1754,1986-04-01,0.11182068747377945
1755,1986-05-01,0.11180241948908225
1756,1986-06-01,0.11178458301416612
1757,1986-07-01,0.11176722427548409
1758,1986-08-01,0.11175037817831206
1759,1986-09-01,0.11173406650802853
1760,1986-10-01,0.11171829818166501
1761,1986-11-01,0.11170307116316072
1762,1986-12-01,0.11168837523611025
1763,1987-01-01,0.11167419484773562
1764,1987-02-01,0.11164543615103797
1765,1987-03-01,0.11162843953874728
1766,1987-04-01,0.11161176608916816
1767,1987-05-01,0.11159540951133828
1768,1987-06-01,0.11157935943761037
1769,1987-07-01,0.11156360379595347
1770,1987-08-01,0.11154812995157612
1771,1987-09-01,0.11153292513634742
1772,1987-10-01,0.11151797659969019
1773,1987-11-01,0.11150327168891995
1774,1987-12-01,0.11148879791980565
1775,1988-01-01,0.11147454304036761
1776,1988-02-01,0.11147007000695978
1777,1988-03-01,0.11148123663790559
1778,1988-04-01,0.11149283852624874
1779,1988-05-01,0.11150484533161298
1780,1988-06-01,0.1115172323562161
1781,1988-07-01,0.11152997933227479
1782,1988-08-01,0.1115430686916608
1783,1988-09-01,0.1115564841767086
1784,1988-10-01,0.11157021002826699
1785,1988-11-01,0.11158423069175985
1786,1988-12-01,0.11159853086936346
1787,1989-01-01,0.11161309573277078
1788,1989-02-01,0.11164413389508987
1789,1989-03-01,0.11167499035622187
1790,1989-04-01,0.11170601239964528
1791,1989-05-01,0.11173690149316771
1792,1989-06-01,0.11176744626774557
1793,1989-07-01,0.11179752189194136
1794,1989-08-01,0.11182706891484857
1795,1989-09-01,0.11185606832718635
1796,1989-10-01,0.11188452232686819
1797,1989-11-01,0.11191244292613596
1798,1989-12-01,0.11193984660176823
1799,1990-01-01,0.11196675234028196
1800,1990-02-01,0.11200338217672438
1801,1990-03-01,0.11203509988553213
1802,1990-04-01,0.11206578196218463
1803,1990-05-01,0.11209539545694767
1804,1990-06-01,0.11212395744419448
1805,1990-07-01,0.1121515173337599
1806,1990-08-01,0.11217814008408272
1807,1990-09-01,0.11220389547039124
1808,1990-10-01,0.11222885276630132
1809,1990-11-01,0.11225307857174091
1810,1990-12-01,0.11227663600676005
1811,1991-01-01,0.11229958436389356
1812,1991-02-01,0.11232581184124919
1813,1991-03-01,0.1123462679663512
1814,1991-04-01,0.1123660290070643
1815,1991-05-01,0.11238511904853331
1816,1991-06-01,0.11240357606038506
1817,1991-07-01,0.11242144447990389
1818,1991-08-01,0.11243876980416669
1819,1991-09-01,0.11245559583611424
1820,1991-10-01,0.11247196365861284
1821,1991-11-01,0.11248791139051034
1822,1991-12-01,0.1125034741983272
1823,1992-01-01,0.11251868436778159
1824,1992-02-01,0.11253420115390471
1825,1992-03-01,0.11254643909444897
1826,1992-04-01,0.1125583473579242
1827,1992-05-01,0.11256994273432838
1828,1992-06-01,0.11258124374576124
1829,1992-07-01,0.11259226915136851
1830,1992-08-01,0.11260303711670926
1831,1992-09-01,0.11261356486590407
1832,1992-10-01,0.11262386856635762
1833,1992-11-01,0.11263396329816262
1834,1992-12-01,0.11264386305208965
1835,1993-01-01,0.11265358074430805
1836,1993-02-01,0.11266276909880472
1837,1993-03-01,0.11266994925908722
1838,1993-04-01,0.11267696994029183
1839,1993-05-01,0.1126838407836235
1840,1993-06-01,0.11269057039818951
1841,1993-07-01,0.11269716642516416
1842,1993-08-01,0.11270363583770865
1843,1993-09-01,0.11270998516357202
1844,1993-10-01,0.11271622057827942
1845,1993-11-01,0.11272234791964192
1846,1993-12-01,0.11272837267707879
1847,1994-01-01,0.1127342999846034
1848,1994-02-01,0.11273940826135745
1849,1994-03-01,0.11273902186546514
1850,1994-04-01,0.1127385457241189
1851,1994-05-01,0.11273799582646435
1852,1994-06-01,0.11273738414688779
1853,1994-07-01,0.11273671904225896
1854,1994-08-01,0.11273600636304236
1855,1994-09-01,0.11273525038651826
1856,1994-10-01,0.11273445438755564
1857,1994-11-01,0.112733620947827
1858,1994-12-01,0.11273275213403063
1859,1995-01-01,0.1127318496251889
1860,1995-02-01,0.11273120444786884
1861,1995-03-01,0.1127222216471093
1862,1995-04-01,0.11271316521083304
1863,1995-05-01,0.11270405177611477
1864,1995-06-01,0.11269489579971621
1865,1995-07-01,0.11268570854728108
1866,1995-08-01,0.11267649844952603
1867,1995-09-01,0.11266727179599058
1868,1995-10-01,0.11265803333033626
1869,1995-11-01,0.11264878666665092
1870,1995-12-01,0.11263953457430213
1871,1996-01-01,0.11263027918973773
1872,1996-02-01,0.11262157554262886
1873,1996-03-01,0.11260508230459013
1874,1996-04-01,0.11258856512919761
1875,1996-05-01,0.11257204345694925
1876,1996-06-01,0.11255553280139478
1877,1996-07-01,0.11253904434988043
1878,1996-08-01,0.11252258581773057
1879,1996-09-01,0.11250616244319254
1880,1996-10-01,0.1124897777329133
1881,1996-11-01,0.11247343394771782
1882,1996-12-01,0.11245713242470814
1883,1997-01-01,0.11244087381658847
1884,1997-02-01,0.1124233529117706
1885,1997-03-01,0.11240186678046185
1886,1997-04-01,0.1123805162160083
1887,1997-05-01,0.11235933063652737
1888,1997-06-01,0.11233832630626642
1889,1997-07-01,0.11231750949511193
1890,1997-08-01,0.11229688024742682
1891,1997-09-01,0.11227643514999992
1892,1997-10-01,0.11225616892352869
1893,1997-11-01,0.11223607522489311
1894,1997-12-01,0.11221614706107144
1895,1998-01-01,0.11219637705463867
1896,1998-02-01,0.11217066035746412
1897,1998-03-01,0.11215364791049268
1898,1998-04-01,0.11213700668377424
1899,1998-05-01,0.11212077681942416
1900,1998-06-01,0.11210497672983474
1901,1998-07-01,0.1120896070517233
1902,1998-08-01,0.11207465681019141
1903,1998-09-01,0.11206010894037202
1904,1998-10-01,0.11204594396598609
1905,1998-11-01,0.11203214192827912
1906,1998-12-01,0.112018683173679
1907,1999-01-01,0.11200554857987297
1908,1999-02-01,0.11198353595825437
1909,1999-03-01,0.11197649194635205
1910,1999-04-01,0.11196986126646959
1911,1999-05-01,0.11196367346475797
1912,1999-06-01,0.11195795221516792
1913,1999-07-01,0.11195271209994012
1914,1999-08-01,0.11194795704776914
1915,1999-09-01,0.11194368100871101
1916,1999-10-01,0.11193987022987464
1917,1999-11-01,0.1119365060796461
1918,1999-12-01,0.1119335675722045
1919,2000-01-01,0.11192667614790931
1920,2000-02-01,0.11193434478194365
1921,2000-03-01,0.11194243293641346
1922,2000-04-01,0.11195092564093649
1923,2000-05-01,0.11195980895913575
1924,2000-06-01,0.11196906933777302
1925,2000-07-01,0.11197869262581513
1926,2000-08-01,0.11198866351597134
1927,2000-09-01,0.11199896556302906
1928,2000-10-01,0.11200958160855189
1929,2000-11-01,0.11202049435315513
1930,2000-12-01,0.11203168686967913
1931,2001-01-01,0.1120489399419158
1932,2001-02-01,0.11206862597251406
1933,2001-03-01,0.11208856713373237
1934,2001-04-01,0.11210866890673263
1935,2001-05-01,0.11212884942643278
1936,2001-06-01,0.11214904597733631
1937,2001-07-01,0.11216921561765601
1938,2001-08-01,0.1121893317756809
1939,2001-09-01,0.11220937934556256
1940,2001-10-01,0.1122293501986324
1941,2001-11-01,0.1122492399827212
1942,2001-12-01,0.11226904625752773
1943,2002-01-01,0.11230265044403907
1944,2002-02-01,0.11233404067889144
1945,2002-03-01,0.11236468332226164
1946,2002-04-01,0.11239444293026708
1947,2002-05-01,0.11242326393979818
1948,2002-06-01,0.11245114936745693
1949,2002-07-01,0.11247813540959367
1950,2002-08-01,0.11250427311435086
1951,2002-09-01,0.11252961845712171
1952,2002-10-01,0.11255422804344253
1953,2002-11-01,0.11257815751615771
1954,2002-12-01,0.11260146090347185
1955,2003-01-01,0.11262971818201316
1956,2003-02-01,0.11265388318473657
1957,2003-03-01,0.11267720765215207
1958,2003-04-01,0.11269970624273014
1959,2003-05-01,0.11272141822727892
1960,2003-06-01,0.11274239601941123
1961,2003-07-01,0.11276269615519134
1962,2003-08-01,0.11278237438365035
1963,2003-09-01,0.11280148364126098
1964,2003-10-01,0.11282007341466015
1965,2003-11-01,0.11283818959598224
1966,2003-12-01,0.11285587447129888
1967,2004-01-01,0.11287403680796879
1968,2004-02-01,0.11289027468767338
1969,2004-03-01,0.11290611560561369
1970,2004-04-01,0.11292157881174984
1971,2004-05-01,0.11293668667521987
1972,2004-06-01,0.11295146261309985
1973,2004-07-01,0.11296592966089873
1974,2004-08-01,0.11298010976281639
1975,2004-09-01,0.1129940235001184
1976,2004-10-01,0.11300769001411787
1977,2004-11-01,0.11302112699999349
1978,2004-12-01,0.1130343507288494
1979,2005-01-01,0.11304711379506666
1980,2005-02-01,0.11305648276853841
1981,2005-03-01,0.1130656647237604
1982,2005-04-01,0.11307467371806318
1983,2005-05-01,0.11308352202529107
1984,2005-06-01,0.11309222016124444
1985,2005-07-01,0.11310077731659413
1986,2005-08-01,0.11310920173008837
1987,2005-09-01,0.11311750090145167
1988,2005-10-01,0.11312568169374294
1989,2005-11-01,0.11313375038905954
1990,2005-12-01,0.11314171273464041
1991,2006-01-01,0.11314939608729488
1992,2006-02-01,0.11315263234968756
1993,2006-03-01,0.11315575850675433
1994,2006-04-01,0.11315878769244948
1995,2006-05-01,0.11316173072238303
1996,2006-06-01,0.11316459595896664
1997,2006-07-01,0.11316738986951559
1998,2006-08-01,0.11317011759812225
1999,2006-09-01,0.11317278335780409
2000,2006-10-01,0.11317539066906063
2001,2006-11-01,0.11317794251354281
2002,2006-12-01,0.11318044145020306
2003,2007-01-01,0.1131832458938537
2004,2007-02-01,0.1131824326719556
2005,2007-03-01,0.11318154308722912
2006,2007-04-01,0.11318058864375845
2007,2007-05-01,0.11317957942795132
2008,2007-06-01,0.1131785234547485
2009,2007-07-01,0.11317742688215561
2010,2007-08-01,0.11317629443686474
2011,2007-09-01,0.11317512978277361
2012,2007-10-01,0.1131739357862857
2013,2007-11-01,0.11317271470661587
2014,2007-12-01,0.11317146834312343
2015,2008-01-01,0.11316952539376005
2016,2008-02-01,0.1131623088218926
2017,2008-03-01,0.11315510832824356
2018,2008-04-01,0.11314795200395324
2019,2008-05-01,0.11314085783414134
2020,2008-06-01,0.11313383556647238
2021,2008-07-01,0.1131268894670924
2022,2008-08-01,0.1131200204525829
