Bigeye Mahi BlueShark Skipjack Yellowfin Albacore StripedMarlin Wahoo Swordfish BlueMarlin Lancetfish Opah
1973.95833333333 13.79 22.74 9.729 17.29 18.48 12.6 19.82 23 8.679 19.82 8.679 14.21
1974.04166666667 13.7 22.11 9.679 17.15 18.32 12.52 19.61 22.29 8.637 19.61 8.637 14.19
1974.125 13.65 21.86 9.647 17.07 18.22 12.48 19.49 22 8.609 19.49 8.609 14.16
1974.20833333333 13.65 21.79 9.647 17.07 18.23 12.48 19.5 22 8.609 19.5 8.609 14.17
1974.29166666667 13.68 21.93 9.658 17.12 18.28 12.5 19.56 22.23 8.618 19.56 8.618 14.18
1974.375 13.72 22.3 9.684 17.2 18.38 12.54 19.69 22.87 8.64 19.69 8.64 14.17
1974.45833333333 13.76 22.77 9.7 17.26 18.46 12.56 19.79 23.7 8.653 19.79 8.653 14.13
1974.54166666667 13.84 23.27 9.747 17.4 18.62 12.63 20 24.61 8.693 20 8.693 14.14
1974.625 13.94 23.69 9.804 17.56 18.81 12.72 20.24 25.31 8.741 20.24 8.741 14.19
1974.70833333333 13.96 23.99 9.816 17.61 18.88 12.74 20.35 25.63 8.751 20.35 8.751 14.17
1974.79166666667 13.94 23.95 9.803 17.57 18.84 12.72 20.31 25.07 8.739 20.31 8.739 14.16
1974.875 13.9 23.56 9.785 17.5 18.76 12.69 20.2 24.08 8.723 20.2 8.723 14.22
1974.95833333333 13.86 22.95 9.764 17.42 18.66 12.65 20.06 23.12 8.706 20.06 8.706 14.29
1975.04166666667 13.79 22.28 9.729 17.29 18.49 12.6 19.84 22.35 8.676 19.84 8.676 14.3
1975.125 13.68 21.85 9.67 17.12 18.29 12.51 19.59 21.94 8.626 19.59 8.626 14.21
1975.20833333333 13.62 21.69 9.637 17.01 18.15 12.45 19.41 21.86 8.599 19.41 8.599 14.13
1975.29166666667 13.64 21.71 9.65 17.03 18.17 12.47 19.43 21.96 8.611 19.43 8.611 14.15
1975.375 13.7 22.03 9.683 17.13 18.28 12.52 19.55 22.6 8.638 19.55 8.638 14.17
1975.45833333333 13.76 22.49 9.715 17.24 18.41 12.58 19.71 23.43 8.665 19.71 8.665 14.16
1975.54166666667 13.86 23 9.766 17.38 18.58 12.66 19.93 24.32 8.707 19.93 8.707 14.18
1975.625 13.93 23.41 9.808 17.5 18.73 12.72 20.12 24.99 8.743 20.12 8.743 14.2
1975.70833333333 13.95 23.61 9.813 17.54 18.78 12.73 20.19 25.09 8.747 20.19 8.747 14.19
1975.79166666667 13.92 23.61 9.798 17.5 18.73 12.71 20.15 24.73 8.733 20.15 8.733 14.17
1975.875 13.88 23.25 9.776 17.42 18.64 12.67 20.04 23.83 8.716 20.04 8.716 14.21
